ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
AMH|American Homes 4 Rent Common Shares of Beneficial Interest|N|AMH|N|100.0|N|AMH
AMK|AssetMark Financial Holdings, Inc. Common Stock|N|AMK|N|100.0|N|AMK
AMN|AMN Healthcare Services Inc|N|AMN|N|100.0|N|AMN
AMP|Ameriprise Financial, Inc. Common Stock|N|AMP|N|100.0|N|AMP
AMPS|Altus Power, Inc. Class A Common Stock|N|AMPS|N|100.0|N|AMPS
AMPX|Amprius Technologies, Inc. Common Stock|N|AMPX|N|100.0|N|AMPX
AMPY|Amplify Energy Corp. Common Stock|N|AMPY|N|100.0|N|AMPY
AMR|Alpha Metallurgical Resources, Inc. Common Stock|N|AMR|N|100.0|N|AMR
AMRC|Ameresco, Inc. Class A Common Stock|N|AMRC|N|100.0|N|AMRC
AMS|American Shared Hospital Services Common Stock|A|AMS|N|100.0|N|AMS
AMT|American Tower Corporation (REIT) Common Stock|N|AMT|N|100.0|N|AMT
AMTB|Amerant Bancorp Inc. Class A Common Stock|N|AMTB|N|100.0|N|AMTB
AMTD|AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares|N|AMTD|N|100.0|N|AMTD
AMTR|ETRACS Alerian Midstream Energy Total Return Index ETN|P|AMTR|N|100.0|N|AMTR
AMUB|ETRACS Alerian MLP Index ETN Series B due July 18, 2042|P|AMUB|N|100.0|N|AMUB
AMWL|American Well Corporation Class A Common Stock|N|AMWL|N|100.0|N|AMWL
AN|AutoNation, Inc. Common Stock|N|AN|N|100.0|N|AN
ANET|Arista Networks, Inc. Common Stock|N|ANET|N|100.0|N|ANET
ANF|Abercrombie & Fitch Company Common Stock|N|ANF|N|100.0|N|ANF
ANRO|Alto Neuroscience, Inc. Common Stock|N|ANRO|N|100.0|N|ANRO
ANVS|Annovis Bio, Inc. Common Stock|N|ANVS|N|100.0|N|ANVS
AOD|abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest|N|AOD|N|100.0|N|AOD
AOMR|Angel Oak Mortgage REIT, Inc. Common Stock|N|AOMR|N|100.0|N|AOMR
AON|Aon plc Class A Ordinary Shares (Ireland)|N|AON|N|100.0|N|AON
AORT|Artivion, Inc. Common Stock|N|AORT|N|100.0|N|AORT
AOS|A.O. Smith Corporation Common Stock|N|AOS|N|100.0|N|AOS
AP|Ampco-Pittsburgh Corporation Common Stock|N|AP|N|100.0|N|AP
APAM|Artisan Partners Asset Management Inc. Class A Common Stock|N|APAM|N|100.0|N|APAM
APCA|AP Acquisition Corp Class A Ordinary Shares|N|APCA|N|100.0|N|APCA
APD|Air Products and Chemicals, Inc. Common Stock|N|APD|N|100.0|N|APD
APG|APi Group Corporation Common Stock|N|APG|N|100.0|N|APG
APH|Amphenol Corporation Common Stock|N|APH|N|100.0|N|APH
APLE|Apple Hospitality REIT, Inc. Common Shares|N|APLE|N|100.0|N|APLE
APO|Apollo Global Management, Inc. (New) Common Stock|N|APO|N|100.0|N|APO
APOS|Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053|N|APOS|N|100.0|N|APOS
APT|Alpha Pro Tech, Ltd. Common Stock|A|APT|N|100.0|N|APT
APTV|Aptiv PLC Ordinary Shares|N|APTV|N|100.0|N|APTV
AQN|Algonquin Power & Utilities Corp. Common Shares|N|AQN|N|100.0|N|AQN
AQNB|Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1, 2079|N|AQNB|N|100.0|N|AQNB
AQNU|Algonquin Power & Utilities Corp. Corporate Units|N|AQNU|N|100.0|N|AQNU
AR|Antero Resources Corporation Common Stock|N|AR|N|100.0|N|AR
ARC|ARC Document Solutions, Inc. Common Stock|N|ARC|N|100.0|N|ARC
ARCH|Arch Resources, Inc. Class A Common Stock|N|ARCH|N|100.0|N|ARCH
ARCO|Arcos Dorados Holdings Inc. Class A Shares|N|ARCO|N|100.0|N|ARCO
ARDC|Ares Dynamic Credit Allocation Fund, Inc. Common Shares|N|ARDC|N|100.0|N|ARDC
ARE|Alexandria Real Estate Equities, Inc. Common Stock|N|ARE|N|100.0|N|ARE
AREN|The Arena Group Holdings, Inc. Common Stock|A|AREN|N|100.0|N|AREN
ARES|Ares Management Corporation Class A Common Stock|N|ARES|N|100.0|N|ARES
ARGD|Argo Group International Holdings, Ltd. 6.5% Senior Notes Due 2042|N|ARGD|N|100.0|N|ARGD
ARI|Apollo Commercial Real Estate Finance, Inc|N|ARI|N|100.0|N|ARI
ARIS|Aris Water Solutions, Inc. Class A Common Stock|N|ARIS|N|100.0|N|ARIS
ARL|American Realty Investors, Inc. Common Stock|N|ARL|N|100.0|N|ARL
ARLO|Arlo Technologies, Inc. Common Stock|N|ARLO|N|100.0|N|ARLO
ARMK|Aramark Common Stock|N|ARMK|N|100.0|N|ARMK
ARMN|Aris Mining Corporation Common Shares|A|ARMN|N|100.0|N|ARMN
ARMP|Armata Pharmaceuticals, Inc. Common Stock|A|ARMP|N|100.0|N|ARMP
AROC|Archrock, Inc. Common Stock|N|AROC|N|100.0|N|AROC
ARR|ARMOUR Residential REIT, Inc.|N|ARR|N|100.0|N|ARR
ARW|Arrow Electronics, Inc. Common Stock|N|ARW|N|100.0|N|ARW
AS|Amer Sports, Inc. Ordinary Shares|N|AS|N|100.0|N|AS
ASA|ASA  Gold and Precious Metals Limited|N|ASA|N|100.0|N|ASA
ASAI|Sendas Distribuidora S A ADS|N|ASAI|N|100.0|N|ASAI
ASAN|Asana, Inc. Class A Common Stock|N|ASAN|N|100.0|N|ASAN
ASB|Associated Banc-Corp Common Stock|N|ASB|N|100.0|N|ASB
ASBA|Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033|N|ASBA|N|100.0|N|ASBA
ASC|Ardmore Shipping Corporation Common Stock|N|ASC|N|100.0|N|ASC
ASG|Liberty All-Star Growth Fund, Inc.|N|ASG|N|100.0|N|ASG
ASGI|abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest|N|ASGI|N|100.0|N|ASGI
ASGN|ASGN Incorporated Common Stock|N|ASGN|N|100.0|N|ASGN
ASH|Ashland Inc. Common Stock|N|ASH|N|100.0|N|ASH
ASIX|AdvanSix Inc. Common Stock |N|ASIX|N|100.0|N|ASIX
ASM|Avino Silver & Gold Mines Ltd. Common Shares (Canada)|A|ASM|N|100.0|N|ASM
ASPN|Aspen Aerogels, Inc. Common Stock|N|ASPN|N|100.0|N|ASPN
ASR|Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock|N|ASR|N|100.0|N|ASR
ASX|ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) |N|ASX|N|100.0|N|ASX
ASXC|Asensus Surgical, Inc. Common Stock|A|ASXC|N|100.0|N|ASXC
ATCH|AtlasClear Holdings, Inc. Common Stock|A|ATCH|N|100.0|N|ATCH
ATEK|Athena Technology Acquisition Corp. II Class A Common Stock|A|ATEK|N|100.0|N|ATEK
ATEN|A10 Networks, Inc. Common Stock|N|ATEN|N|100.0|N|ATEN
ATGE|Adtalem Global Education Inc. Common Stock|N|ATGE|N|100.0|N|ATGE
ATHM|Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.|N|ATHM|N|100.0|N|ATHM
ATHS|Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064|N|ATHS|N|100.0|N|ATHS
ATI|ATI Inc. Common Stock|N|ATI|N|100.0|N|ATI
ATIP|ATI Physical Therapy, Inc. Class A Common Stock|N|ATIP|N|100.0|N|ATIP
ATKR|Atkore Inc. Common Stock|N|ATKR|N|100.0|N|ATKR
ATMP|iPath Select MLP ETN|Z|ATMP|N|100.0|N|ATMP
ATMU|Atmus Filtration Technologies Inc. Common Stock|N|ATMU|N|100.0|N|ATMU
ATNM|Actinium Pharmaceuticals, Inc. (Delaware) Common Stock|A|ATNM|N|100.0|N|ATNM
ATO|Atmos Energy Corporation Common Stock|N|ATO|N|100.0|N|ATO
ATR|AptarGroup, Inc. Common Stock|N|ATR|N|100.0|N|ATR
ATS|ATS Corporation Common Shares|N|ATS|N|100.0|N|ATS
ATUS|Altice USA, Inc. Class A Common Stock|N|ATUS|N|100.0|N|ATUS
AU|AngloGold Ashanti PLC Ordinary Shares|N|AU|N|100.0|N|AU
AUB|Atlantic Union Bankshares Corporation Common Stock|N|AUB|N|100.0|N|AUB
AULT|Ault Alliance, Inc. Common Stock|A|AULT|N|100.0|N|AULT
AUMN|Golden Minerals Company Common Stock|A|AUMN|N|100.0|N|AUMN
AUNA|Auna SA Class A Ordinary Shares|N|AUNA|N|100.0|N|AUNA
AUST|Austin Gold Corp. Common Shares|A|AUST|N|100.0|N|AUST
AVA|Avista Corporation Common Stock|N|AVA|N|100.0|N|AVA
AVAL|Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)|N|AVAL|N|100.0|N|AVAL
AVB|AvalonBay Communities, Inc. Common Stock|N|AVB|N|100.0|N|AVB
AVD|American Vanguard Corporation Common Stock ($0.10 Par Value)|N|AVD|N|100.0|N|AVD
AVK|Advent Convertible and Income Fund|N|AVK|N|100.0|N|AVK
AVNS|Avanos Medical, Inc. Common Stock|N|AVNS|N|100.0|N|AVNS
AVNT|Avient Corporation Common Stock|N|AVNT|N|100.0|N|AVNT
AVTR|Avantor, Inc. Common Stock|N|AVTR|N|100.0|N|AVTR
AVY|Avery Dennison Corporation Common Stock|N|AVY|N|100.0|N|AVY
AWF|Alliancebernstein Global High Income Fund|N|AWF|N|100.0|N|AWF
AWI|Armstrong World Industries Inc Common Stock|N|AWI|N|100.0|N|AWI
AWK|American Water Works Company, Inc. Common Stock|N|AWK|N|100.0|N|AWK
AWP|abrdn Global Premier Properties Fund Common Shares of Beneficial Interest|N|AWP|N|100.0|N|AWP
AWR|American States Water Company Common Stock|N|AWR|N|100.0|N|AWR
AWX|Avalon Holdings Corporation Common Stock|A|AWX|N|100.0|N|AWX
AX|Axos Financial, Inc. Common Stock|N|AX|N|100.0|N|AX
AXIL|AXIL Brands, Inc. Common Stock|A|AXIL|N|100.0|N|AXIL
AXL|American Axle & Manufacturing Holdings, Inc. Common Stock|N|AXL|N|100.0|N|AXL
AXP|American Express Company Common Stock|N|AXP|N|100.0|N|AXP
AXR|AMREP Corporation Common Stock|N|AXR|N|100.0|N|AXR
AXS|Axis Capital Holdings Limited Common Stock|N|AXS|N|100.0|N|AXS
AXTA|Axalta Coating Systems Ltd. Common Shares|N|AXTA|N|100.0|N|AXTA
AYI|Acuity Brands, Inc. |N|AYI|N|100.0|N|AYI
AZEK|The AZEK Company Inc. Class A Common Stock|N|AZEK|N|100.0|N|AZEK
AZO|AutoZone, Inc. Common Stock|N|AZO|N|100.0|N|AZO
AZTR|Azitra Inc Common Stock|A|AZTR|N|100.0|N|AZTR
AZUL|Azul S.A. American Depositary Shares (each representing three preferred shares)|N|AZUL|N|100.0|N|AZUL
AZZ|AZZ Inc.|N|AZZ|N|100.0|N|AZZ
B|Barnes Group, Inc. Common Stock|N|B|N|100.0|N|B
BA|Boeing Company (The) Common Stock|N|BA|N|100.0|N|BA
BABA|Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share|N|BABA|N|100.0|N|BABA
BAC|Bank of America Corporation Common Stock|N|BAC|N|100.0|N|BAC
BACA|Berenson Acquisition Corp. I Class A Common Stock|A|BACA|N|100.0|N|BACA
BAH|Booz Allen Hamilton Holding Corporation Common Stock|N|BAH|N|100.0|N|BAH
BAK|Braskem SA ADR|N|BAK|N|100.0|N|BAK
BALL|Ball Corporation Common Stock|N|BALL|N|100.0|N|BALL
BALY|Bally's Corporation Common Stock|N|BALY|N|100.0|N|BALY
BAM|Brookfield Asset Management Inc Class A Limited Voting Shares|N|BAM|N|100.0|N|BAM
BANC|Banc of California, Inc. Common Stock|N|BANC|N|100.0|N|BANC
BAP|Credicorp Ltd. Common Stock|N|BAP|N|100.0|N|BAP
BAR|GraniteShares Gold Trust Shares of Beneficial Interest|P|BAR|N|100.0|N|BAR
BARK|BARK, Inc. Class A Common Stock|N|BARK|N|100.0|N|BARK
BATL|Battalion Oil Corporation Common Stock|A|BATL|N|100.0|N|BATL
BAX|Baxter International Inc. Common Stock|N|BAX|N|100.0|N|BAX
BB|BlackBerry Limited Common Stock|N|BB|N|100.0|N|BB
BBAI|BigBear.ai, Inc. Common Stock|N|BBAI|N|100.0|N|BBAI
BBAR|Banco BBVA Argentina S.A. ADS|N|BBAR|N|100.0|N|BBAR
BBD|Banco Bradesco Sa American Depositary Shares|N|BBD|N|100.0|N|BBD
BBDC|Barings BDC, Inc. Common Stock|N|BBDC|N|100.0|N|BBDC
BBDO|Banco Bradesco Sa American Depositary Shares (each representing one Common Share)|N|BBDO|N|100.0|N|BBDO
BBN|BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest|N|BBN|N|100.0|N|BBN
BBU|Brookfield Business Partners L.P. Limited Partnership Units |N|BBU|N|100.0|N|BBU
BBUC|Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares|N|BBUC|N|100.0|N|BBUC
